INFO 2024-09-05 10:12:45,534 Watching for file changes with StatReloader
INFO 2024-09-05 10:14:33,468 "GET /static/images/favicon.ico HTTP/1.1" 200 15406
INFO 2024-09-05 10:14:40,068 "GET /accounts/login/ HTTP/1.1" 200 12920
INFO 2024-09-05 10:14:40,127 "GET /static/css/styles.css HTTP/1.1" 200 4999
INFO 2024-09-05 10:14:40,131 "GET /static/js/quantity.js HTTP/1.1" 200 3055
INFO 2024-09-05 10:14:40,131 "GET /static/js/actions.js HTTP/1.1" 200 3988
INFO 2024-09-05 10:14:40,136 "GET /static/js/index.js HTTP/1.1" 200 470
WARNING 2024-09-05 10:14:40,138 Not Found: /accounts/static/images/mailchimp.webp
WARNING 2024-09-05 10:14:40,138 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
INFO 2024-09-05 10:14:40,138 "GET /static/js/library.js HTTP/1.1" 200 2656
INFO 2024-09-05 10:14:40,139 "GET /static/images/logo.png HTTP/1.1" 200 58043
INFO 2024-09-05 10:14:40,334 "GET /static/js/module.js HTTP/1.1" 200 445
INFO 2024-09-05 10:14:40,519 "GET /static/images/favicon.ico HTTP/1.1" 200 15406
INFO 2024-09-05 10:14:49,772 "GET /accounts/login/ HTTP/1.1" 200 12927
INFO 2024-09-05 10:14:49,844 "GET /static/css/styles.css HTTP/1.1" 200 4999
INFO 2024-09-05 10:14:49,844 "GET /static/js/quantity.js HTTP/1.1" 200 3055
INFO 2024-09-05 10:14:49,847 "GET /static/js/index.js HTTP/1.1" 200 470
INFO 2024-09-05 10:14:49,850 "GET /static/js/actions.js HTTP/1.1" 200 3988
INFO 2024-09-05 10:14:49,850 "GET /static/js/library.js HTTP/1.1" 200 2656
WARNING 2024-09-05 10:14:49,852 Not Found: /accounts/static/images/mailchimp.webp
WARNING 2024-09-05 10:14:49,852 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
INFO 2024-09-05 10:14:49,852 "GET /static/images/logo.png HTTP/1.1" 200 58043
INFO 2024-09-05 10:14:49,974 "GET /static/js/module.js HTTP/1.1" 200 445
INFO 2024-09-05 10:14:50,089 "GET /static/images/favicon.ico HTTP/1.1" 200 15406
INFO 2024-09-05 10:15:00,528 "GET /accounts/login/ HTTP/1.1" 200 12920
INFO 2024-09-05 10:15:00,607 "GET /static/css/styles.css HTTP/1.1" 200 4999
INFO 2024-09-05 10:15:00,610 "GET /static/js/index.js HTTP/1.1" 200 470
INFO 2024-09-05 10:15:00,613 "GET /static/js/library.js HTTP/1.1" 200 2656
INFO 2024-09-05 10:15:00,615 "GET /static/js/quantity.js HTTP/1.1" 200 3055
INFO 2024-09-05 10:15:00,616 "GET /static/js/actions.js HTTP/1.1" 200 3988
WARNING 2024-09-05 10:15:00,620 Not Found: /accounts/static/images/mailchimp.webp
WARNING 2024-09-05 10:15:00,620 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
INFO 2024-09-05 10:15:00,620 "GET /static/images/logo.png HTTP/1.1" 200 58043
INFO 2024-09-05 10:15:00,861 "GET /static/js/module.js HTTP/1.1" 200 445
INFO 2024-09-05 10:15:01,174 "GET /static/images/favicon.ico HTTP/1.1" 200 15406
INFO 2024-09-05 10:15:06,933 "GET /accounts/login/ HTTP/1.1" 200 12913
INFO 2024-09-05 10:15:06,999 "GET /static/css/styles.css HTTP/1.1" 200 4999
INFO 2024-09-05 10:15:07,002 "GET /static/js/index.js HTTP/1.1" 200 470
INFO 2024-09-05 10:15:07,004 "GET /static/js/actions.js HTTP/1.1" 200 3988
INFO 2024-09-05 10:15:07,005 "GET /static/js/library.js HTTP/1.1" 200 2656
INFO 2024-09-05 10:15:07,005 "GET /static/images/logo.png HTTP/1.1" 200 58043
INFO 2024-09-05 10:15:07,036 "GET /static/js/quantity.js HTTP/1.1" 200 3055
WARNING 2024-09-05 10:15:07,040 Not Found: /accounts/static/images/mailchimp.webp
WARNING 2024-09-05 10:15:07,040 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
INFO 2024-09-05 10:15:07,198 "GET /static/js/module.js HTTP/1.1" 200 445
INFO 2024-09-05 10:15:07,233 "GET /static/images/favicon.ico HTTP/1.1" 200 15406
INFO 2024-09-05 10:15:07,501 "GET /accounts/login/ HTTP/1.1" 200 12913
